"Time","immigrati"
"2013-02-01",21
"2013-03-01",17
"2013-04-01",18
"2013-05-01",23
"2013-06-01",19
"2013-07-01",18
"2013-08-01",21
"2013-09-01",20
"2013-10-01",75
"2013-11-01",29
"2013-12-01",27
"2014-01-01",24
"2014-02-01",25
"2014-03-01",23
"2014-04-01",28
"2014-05-01",34
"2014-06-01",34
"2014-07-01",29
"2014-08-01",35
"2014-09-01",47
"2014-10-01",41
"2014-11-01",50
"2014-12-01",29
"2015-01-01",26
"2015-02-01",30
"2015-03-01",31
"2015-04-01",61
"2015-05-01",56
"2015-06-01",84
"2015-07-01",43
"2015-08-01",61
"2015-09-01",78
"2015-10-01",38
"2015-11-01",36
"2015-12-01",24
"2016-01-01",41
"2016-02-01",37
"2016-03-01",43
"2016-04-01",44
"2016-05-01",41
"2016-06-01",44
"2016-07-01",39
"2016-08-01",45
"2016-09-01",41
"2016-10-01",52
"2016-11-01",52
"2016-12-01",36
"2017-01-01",52
"2017-02-01",44
"2017-03-01",40
"2017-04-01",37
"2017-05-01",43
"2017-06-01",41
"2017-07-01",54
"2017-08-01",58
"2017-09-01",40
"2017-10-01",34
"2017-11-01",31
"2017-12-01",25
"2018-01-01",38
"2018-02-01",49
"2018-03-01",38
"2018-04-01",25
"2018-05-01",25
"2018-06-01",100
"2018-07-01",46
"2018-08-01",45
"2018-09-01",38
"2018-10-01",36
"2018-11-01",27
"2018-12-01",24
"2019-01-01",46
"2019-02-01",32
"2019-03-01",26
"2019-04-01",24
"2019-05-01",29
"2019-06-01",32
"2019-07-01",32
"2019-08-01",30
"2019-09-01",30
"2019-10-01",26
"2019-11-01",22
"2019-12-01",30
"2020-01-01",25
"2020-02-01",25
"2020-03-01",25
"2020-04-01",32
"2020-05-01",62
"2020-06-01",31
"2020-07-01",33
"2020-08-01",35
"2020-09-01",19
"2020-10-01",17
"2020-11-01",19
"2020-12-01",14
"2021-01-01",15
"2021-02-01",15
"2021-03-01",15
"2021-04-01",16
"2021-05-01",20
"2021-06-01",15
"2021-07-01",12
"2021-08-01",12
"2021-09-01",11
"2021-10-01",12
"2021-11-01",16
"2021-12-01",12
"2022-01-01",15
"2022-02-01",14
"2022-03-01",17
"2022-04-01",14
"2022-05-01",14
"2022-06-01",12
"2022-07-01",10
"2022-08-01",12
"2022-09-01",14
